date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-06-29,26,23,0.0,14.5,5,60,12:35 AM,11:16 AM,05:58 AM,09:13 PM,22,27,27,25,11,67,87,10.0,1020,26,9,250,8,Detroit
2021-06-30,28,22,0.0,14.5,5,53,01:01 AM,12:22 PM,05:59 AM,09:13 PM,20,27,27,25,10,56,80,1.3,1016,28,9,270,8,Detroit
2021-07-01,23,20,0.0,15.5,5,51,01:24 AM,01:26 PM,05:59 AM,09:13 PM,18,22,23,22,8,38,80,0.7,1013,23,10,104,6,Detroit
2021-07-02,22,16,0.0,14.4,4,44,01:45 AM,02:27 PM,06:00 AM,09:13 PM,11,19,19,19,24,39,61,0.8,1013,22,10,179,18,Detroit
2021-07-03,27,17,0.0,13.5,5,36,02:06 AM,03:29 PM,06:01 AM,09:12 PM,12,22,22,22,11,30,56,0.1,1014,27,10,295,9,Detroit
2021-07-04,30,17,0.0,14.5,6,29,02:28 AM,04:29 PM,06:01 AM,09:12 PM,19,26,26,24,9,41,73,2.0,1011,30,9,143,7,Detroit
2021-07-05,31,23,0.0,14.5,7,22,02:53 AM,05:31 PM,06:02 AM,09:12 PM,20,29,29,27,21,26,68,0.2,1012,31,10,246,17,Detroit
2021-07-06,29,24,0.0,11.5,6,15,03:22 AM,06:32 PM,06:02 AM,09:12 PM,22,29,29,26,20,52,75,7.3,1013,29,9,260,14,Detroit
2021-07-07,31,24,0.0,13.5,6,7,03:55 AM,07:33 PM,06:03 AM,09:11 PM,20,29,29,27,19,42,68,0.6,1012,31,10,243,15,Detroit
2021-07-08,22,18,0.0,9.4,4,0,04:35 AM,08:29 PM,06:04 AM,09:11 PM,17,20,20,20,14,89,84,1.6,1012,22,10,65,12,Detroit
2021-07-09,22,18,0.0,10.4,4,0,05:23 AM,09:21 PM,06:04 AM,09:10 PM,18,20,20,20,10,87,88,2.0,1013,22,7,42,8,Detroit
