date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-06-29,34,20,0.0,16.0,7,60,12:26 AM,10:51 AM,05:15 AM,09:11 PM,15,30,30,29,14,0,54,0.0,1007,34,10,210,12,Seattle
2021-06-30,32,18,0.0,16.0,6,53,12:47 AM,12:02 PM,05:15 AM,09:11 PM,16,26,26,25,11,12,61,0.0,1010,32,10,242,9,Seattle
2021-07-01,32,16,0.0,16.0,6,51,01:06 AM,01:09 PM,05:16 AM,09:11 PM,15,25,25,24,8,14,64,0.0,1011,32,10,236,7,Seattle
2021-07-02,34,16,0.0,15.9,7,44,01:23 AM,02:15 PM,05:17 AM,09:10 PM,15,26,26,25,7,9,62,0.0,1012,34,10,221,6,Seattle
2021-07-03,34,16,0.0,15.9,7,36,01:40 AM,03:20 PM,05:17 AM,09:10 PM,15,26,26,25,7,4,62,0.0,1014,34,10,199,5,Seattle
2021-07-04,30,14,0.0,15.9,5,29,01:59 AM,04:25 PM,05:18 AM,09:10 PM,13,23,23,22,10,18,60,0.0,1015,30,10,217,8,Seattle
2021-07-05,31,13,0.0,15.9,6,22,02:19 AM,05:31 PM,05:19 AM,09:09 PM,12,24,24,23,9,13,61,0.0,1017,31,10,254,7,Seattle
2021-07-06,31,17,0.0,15.9,7,15,02:44 AM,06:36 PM,05:20 AM,09:09 PM,13,26,26,25,6,0,57,0.0,1015,31,10,230,6,Seattle
2021-07-07,25,14,0.0,15.6,5,7,03:16 AM,07:39 PM,05:20 AM,09:08 PM,12,20,20,20,13,31,64,0.0,1014,25,10,192,10,Seattle
2021-07-08,27,12,0.0,15.9,5,0,03:54 AM,08:36 PM,05:21 AM,09:08 PM,11,20,21,20,8,26,65,0.0,1016,27,10,224,7,Seattle
2021-07-09,30,13,0.0,15.9,6,0,04:42 AM,09:27 PM,05:22 AM,09:07 PM,13,23,23,23,9,6,61,0.0,1017,30,10,273,7,Seattle
